market,ticker,security_id,name,live_status,identity_status,identity_same_name,identity_claimants,identity_incumbent_id,identity_incumbent_name,identity_reason,monitoring_eligible,coverage_status
UK,PMGR,SEDOL:BNG43G3,Premier Miton Global Renewables,live_stale_nav,conflict,True,2,SEDOL:BNG43G3,Premier Miton Global Renewables,"ticker PMGR claimed by 2 LIVE securities with the SAME name - probably one company's share-class or SEDOL vintages, but which row the quote belongs to is still unsettled - SEDOL:3353790 (Premier Miton Global Renewables, to 2025-11)",False,EXCLUDED
UK,SDV,SEDOL:661582,Chelverton UK Dividend Trust,live_stale_nav,conflict,True,2,SEDOL:661582,Chelverton UK Dividend Trust,"ticker SDV claimed by 2 LIVE securities with the SAME name - probably one company's share-class or SEDOL vintages, but which row the quote belongs to is still unsettled - SEDOL:BZ7MQD8 (Chelverton UK Dividend Trust, to 2025-03)",True,RED
UK,SDV,SEDOL:BZ7MQD8,Chelverton UK Dividend Trust,live,conflict,True,2,SEDOL:661582,Chelverton UK Dividend Trust,"ticker SDV claimed by 2 LIVE securities with the SAME name - probably one company's share-class or SEDOL vintages, but which row the quote belongs to is still unsettled - SEDOL:661582 (Chelverton UK Dividend Trust, to 2026-07)",False,EXCLUDED
UK,UTL,SEDOL:1610207,UIL,live,conflict,False,7,SEDOL:B00KTN5,UIL,"ticker UTL claimed by 7 LIVE securities with DIFFERENT names - a reused ticker; pricing the wrong one staples another company's quote to this fund - SEDOL:3137100 (UIL, to 2020-09), SEDOL:B00KTN5 (UIL, to 2026-07), SEDOL:B1XHVB2 (UIL, to 2016-09), SEDOL:B6X5T17 (UIL, to 2018-09), SEDOL:B1XHSL1 (Utilico Investments, to 2012-09), SEDOL:B1XHV78 (Utilico Investments, to 2014-09)",False,EXCLUDED
UK,UTL,SEDOL:3137100,UIL,live,conflict,False,7,SEDOL:B00KTN5,UIL,"ticker UTL claimed by 7 LIVE securities with DIFFERENT names - a reused ticker; pricing the wrong one staples another company's quote to this fund - SEDOL:1610207 (UIL, to 2024-09), SEDOL:B00KTN5 (UIL, to 2026-07), SEDOL:B1XHVB2 (UIL, to 2016-09), SEDOL:B6X5T17 (UIL, to 2018-09), SEDOL:B1XHSL1 (Utilico Investments, to 2012-09), SEDOL:B1XHV78 (Utilico Investments, to 2014-09)",False,EXCLUDED
UK,UTL,SEDOL:B00KTN5,UIL,live,conflict,False,7,SEDOL:B00KTN5,UIL,"ticker UTL claimed by 7 LIVE securities with DIFFERENT names - a reused ticker; pricing the wrong one staples another company's quote to this fund - SEDOL:1610207 (UIL, to 2024-09), SEDOL:3137100 (UIL, to 2020-09), SEDOL:B1XHVB2 (UIL, to 2016-09), SEDOL:B6X5T17 (UIL, to 2018-09), SEDOL:B1XHSL1 (Utilico Investments, to 2012-09), SEDOL:B1XHV78 (Utilico Investments, to 2014-09)",True,RED
UK,UTL,SEDOL:B1XHVB2,UIL,live,conflict,False,7,SEDOL:B00KTN5,UIL,"ticker UTL claimed by 7 LIVE securities with DIFFERENT names - a reused ticker; pricing the wrong one staples another company's quote to this fund - SEDOL:1610207 (UIL, to 2024-09), SEDOL:3137100 (UIL, to 2020-09), SEDOL:B00KTN5 (UIL, to 2026-07), SEDOL:B6X5T17 (UIL, to 2018-09), SEDOL:B1XHSL1 (Utilico Investments, to 2012-09), SEDOL:B1XHV78 (Utilico Investments, to 2014-09)",False,EXCLUDED
UK,UTL,SEDOL:B6X5T17,UIL,live,conflict,False,7,SEDOL:B00KTN5,UIL,"ticker UTL claimed by 7 LIVE securities with DIFFERENT names - a reused ticker; pricing the wrong one staples another company's quote to this fund - SEDOL:1610207 (UIL, to 2024-09), SEDOL:3137100 (UIL, to 2020-09), SEDOL:B00KTN5 (UIL, to 2026-07), SEDOL:B1XHVB2 (UIL, to 2016-09), SEDOL:B1XHSL1 (Utilico Investments, to 2012-09), SEDOL:B1XHV78 (Utilico Investments, to 2014-09)",False,EXCLUDED
UK,UTL,SEDOL:B1XHSL1,Utilico Investments,live,conflict,False,7,SEDOL:B00KTN5,UIL,"ticker UTL claimed by 7 LIVE securities with DIFFERENT names - a reused ticker; pricing the wrong one staples another company's quote to this fund - SEDOL:1610207 (UIL, to 2024-09), SEDOL:3137100 (UIL, to 2020-09), SEDOL:B00KTN5 (UIL, to 2026-07), SEDOL:B1XHVB2 (UIL, to 2016-09), SEDOL:B6X5T17 (UIL, to 2018-09), SEDOL:B1XHV78 (Utilico Investments, to 2014-09)",False,EXCLUDED
UK,UTL,SEDOL:B1XHV78,Utilico Investments,live,conflict,False,7,SEDOL:B00KTN5,UIL,"ticker UTL claimed by 7 LIVE securities with DIFFERENT names - a reused ticker; pricing the wrong one staples another company's quote to this fund - SEDOL:1610207 (UIL, to 2024-09), SEDOL:3137100 (UIL, to 2020-09), SEDOL:B00KTN5 (UIL, to 2026-07), SEDOL:B1XHVB2 (UIL, to 2016-09), SEDOL:B6X5T17 (UIL, to 2018-09), SEDOL:B1XHSL1 (Utilico Investments, to 2012-09)",False,EXCLUDED
UK,AGIT,SEDOL:B4TR344,Aberforth Geared Income,delisted,superseded,False,2,SEDOL:B4WLXD2,Aberforth Geared Income,"ticker AGIT now belongs to SEDOL:B4WLXD2 (Aberforth Geared Income, listed to 2017-05); a live quote for AGIT is that security's, not this one's",False,EXCLUDED
UK,AIF,SEDOL:0482943,Acorn Income,delisted,superseded,False,2,SEDOL:BYMJ7X4,Acorn Income,"ticker AIF now belongs to SEDOL:BYMJ7X4 (Acorn Income, listed to 2021-08); a live quote for AIF is that security's, not this one's",False,EXCLUDED
UK,CIP,SEDOL:BF8NW87,CIP Merchant Capital,delisted,superseded,False,2,SEDOL:B62DS15,Channel Islands Property,"ticker CIP now belongs to SEDOL:B62DS15 (Channel Islands Property, listed to 2026-07); a live quote for CIP is that security's, not this one's",False,EXCLUDED
UK,ECWO,SEDOL:3132632,Ecofin Water & Power Opportunities,delisted,superseded,False,3,SEDOL:B09LK25,Ecofin Water & Power Opportunities,"ticker ECWO now belongs to SEDOL:B09LK25 (Ecofin Water & Power Opportunities, listed to 2016-08); a live quote for ECWO is that security's, not this one's",False,EXCLUDED
UK,ECWO,SEDOL:3132643,Ecofin Water & Power Opportunities,delisted,superseded,False,3,SEDOL:B09LK25,Ecofin Water & Power Opportunities,"ticker ECWO now belongs to SEDOL:B09LK25 (Ecofin Water & Power Opportunities, listed to 2016-08); a live quote for ECWO is that security's, not this one's",False,EXCLUDED
UK,FAIR,SEDOL:BMBN1D1,Fair Oaks Income,delisted,superseded,False,2,SEDOL:BF00L34,Fair Oaks Income 2021,"ticker FAIR now belongs to SEDOL:BF00L34 (Fair Oaks Income 2021, listed to 2026-07); a live quote for FAIR is that security's, not this one's",False,EXCLUDED
UK,GABC,SEDOL:BYYS2J0,GCP Asset Backed Income C shares,delisted,superseded,False,2,SEDOL:BYW1DN2,GCP Asset Backed Income C Shares,"ticker GABC now belongs to SEDOL:BYW1DN2 (GCP Asset Backed Income C Shares, listed to 2018-11); a live quote for GABC is that security's, not this one's",False,EXCLUDED
UK,JPEL,SEDOL:B5N4JV7,JPEL Private Equity,delisted,superseded,False,4,SEDOL:B07V0H2,JPEL Private Equity,"ticker JPEL now belongs to SEDOL:B07V0H2 (JPEL Private Equity, listed to 2026-07); a live quote for JPEL is that security's, not this one's",False,EXCLUDED
UK,JPEL,SEDOL:B00DDT8,JPMorgan Private Equity,delisted,superseded,False,4,SEDOL:B07V0H2,JPEL Private Equity,"ticker JPEL now belongs to SEDOL:B07V0H2 (JPEL Private Equity, listed to 2026-07); a live quote for JPEL is that security's, not this one's",False,EXCLUDED
UK,JPEL,SEDOL:B07V0R2,JPMorgan Private Equity,live,superseded,False,4,SEDOL:B07V0H2,JPEL Private Equity,"ticker JPEL now belongs to SEDOL:B07V0H2 (JPEL Private Equity, listed to 2026-07); a live quote for JPEL is that security's, not this one's",False,EXCLUDED
UK,JPI,SEDOL:3073184,JPMorgan Income & Capital,delisted,superseded,False,2,SEDOL:3073203,JPMorgan Income & Capital,"ticker JPI now belongs to SEDOL:3073203 (JPMorgan Income & Capital, listed to 2018-01); a live quote for JPI is that security's, not this one's",False,EXCLUDED
UK,JZCP,SEDOL:290481,JZ Capital Partners,delisted,superseded,False,3,SEDOL:BZ0RY03,JZ Capital Partners,"ticker JZCP now belongs to SEDOL:BZ0RY03 (JZ Capital Partners, listed to 2020-03); a live quote for JZCP is that security's, not this one's",False,EXCLUDED
UK,JZCP,SEDOL:721163,JZ Capital Partners,delisted,superseded,False,3,SEDOL:BZ0RY03,JZ Capital Partners,"ticker JZCP now belongs to SEDOL:BZ0RY03 (JZ Capital Partners, listed to 2020-03); a live quote for JZCP is that security's, not this one's",False,EXCLUDED
UK,MGHC,SEDOL:553270,M&G High Income,delisted,superseded,False,2,SEDOL:553281,M&G High Income,"ticker MGHC now belongs to SEDOL:553281 (M&G High Income, listed to 2017-02); a live quote for MGHC is that security's, not this one's",False,EXCLUDED
UK,RDL,SEDOL:BD20L05,RDL Realisation,delisted,superseded,False,2,SEDOL:BW4NPD6,RDL Realisation,"ticker RDL now belongs to SEDOL:BW4NPD6 (RDL Realisation, listed to 2021-01); a live quote for RDL is that security's, not this one's",False,EXCLUDED
UK,RGL,SEDOL:BH4TCL6,Regional REIT,delisted,superseded,False,2,SEDOL:BYV2ZQ3,Regional REIT,"ticker RGL now belongs to SEDOL:BYV2ZQ3 (Regional REIT, listed to 2026-07); a live quote for RGL is that security's, not this one's",False,EXCLUDED
UK,RIII,NAME:rights and issues|preference,Rights & Issues,live,superseded,False,2,SEDOL:739207,Rights & Issues Investment Trust,"ticker RIII now belongs to SEDOL:739207 (Rights & Issues Investment Trust, listed to 2026-07); a live quote for RIII is that security's, not this one's",False,EXCLUDED
UK,RMII,SEDOL:BG1TSQ9,RM Secured Direct Lending,delisted,superseded,False,2,SEDOL:BYMTBG5,RM Infrastructure Income,"ticker RMII now belongs to SEDOL:BYMTBG5 (RM Infrastructure Income, listed to 2024-09); a live quote for RMII is that security's, not this one's",False,EXCLUDED
UK,SDVZ,SEDOL:661593,Small Companies Dividend,delisted,superseded,False,2,SEDOL:B8FJ579,Chelverton Small Companies Dividend,"ticker SDVZ now belongs to SEDOL:B8FJ579 (Chelverton Small Companies Dividend, listed to 2017-12); a live quote for SDVZ is that security's, not this one's",False,EXCLUDED
UK,UAV,SEDOL:3091830,Unicorn AIM VCT,delisted,superseded,False,2,NAME:unicorn aim vct following conversion of unicorn aim vct ords and series 2 and merger with unicorn aim vct ii|ordinary share,Unicorn AIM VCT,"ticker UAV now belongs to NAME:unicorn aim vct following conversion of unicorn aim vct ords and series 2 and merger with unicorn aim vct ii|ordinary share (Unicorn AIM VCT, listed to 2026-07); a live quote for UAV is that security's, not this one's",False,EXCLUDED
UK,VEIL,SEDOL:BFXW773,Ventus VCT D shares,delisted,superseded,False,2,SEDOL:361H109,Vietnam Enterprise Investments,"ticker VEIL now belongs to SEDOL:361H109 (Vietnam Enterprise Investments, listed to 2026-07); a live quote for VEIL is that security's, not this one's",False,EXCLUDED
UK,VNL,SEDOL:B0WHX65,Vinaland,delisted,superseded,False,3,SEDOL:3636101,Vinaland,"ticker VNL now belongs to SEDOL:3636101 (Vinaland, listed to 2018-08); a live quote for VNL is that security's, not this one's",False,EXCLUDED
UK,VNL,SEDOL:BFN0VM0,Vinaland,delisted,superseded,False,3,SEDOL:3636101,Vinaland,"ticker VNL now belongs to SEDOL:3636101 (Vinaland, listed to 2018-08); a live quote for VNL is that security's, not this one's",False,EXCLUDED
